frequency_mhz,level_dbm,buffer_voltage_mv,resistance,pwr_pw,efficiency
887.0,-15.0,1631.0,375000.0,7154000,22.623
887.0,-14.5,1637.0,308593.0,8535000,24.055
887.0,-14.0,1625.0,257812.0,10104000,25.38
887.0,-13.5,1638.0,218750.0,12265000,27.458
887.0,-13.0,1605.0,187500.0,13738000,27.411
887.0,-12.5,1606.0,164062.0,15721000,27.956
887.0,-12.0,1634.0,144531.0,17934000,28.423
887.0,-11.5,1599.0,125000.0,20865000,29.473
887.0,-11.0,1623.0,113281.0,23396000,29.454
887.0,-10.5,1575.0,97656.0,25401000,28.5
887.0,-10.0,1577.0,86173.0,28859000,28.859
887.0,-9.5,1604.0,81535.0,32346000,28.828
887.0,-9.0,1610.0,74016.0,34977000,27.783
887.0,-8.5,1627.0,67016.0,39499000,27.963
887.0,-8.0,1625.0,60883.0,42522000,26.83
887.0,-7.5,1603.0,55328.0,48375000,27.203
887.0,-7.0,1625.0,50703.0,51888000,26.006
887.0,-6.5,1630.0,46702.0,56890000,25.412
887.0,-6.0,1633.0,43006.0,62083000,24.716
887.0,-5.5,1618.0,39621.0,67387000,23.91
887.0,-5.0,1612.0,36211.0,72923000,23.06
887.0,-4.5,1622.0,33466.0,79001000,22.266
887.0,-4.0,1616.0,31051.0,84102000,21.125
887.0,-3.5,1635.0,28624.0,93391000,20.908
887.0,-3.0,1599.0,26185.0,97643000,19.482
887.0,-2.5,1622.0,24786.0,108248000,19.25
887.0,-2.0,1635.0,23032.0,116065000,18.395
887.0,-1.5,1622.0,21270.0,121715000,17.193
887.0,-1.0,1611.0,19856.0,130707000,16.455
887.0,-0.5,1605.0,18439.0,139705000,15.675
887.0,0.0,1614.0,17373.0,149945000,14.994
900.0,-20.0,800.0,1000000.0,633000,6.33
900.0,-19.5,919.0,1000000.0,861000,7.674
900.0,-19.0,1044.0,1000000.0,1083000,8.603
900.0,-18.5,1170.0,1000000.0,1371000,9.706
900.0,-18.0,1289.0,1000000.0,1661000,10.48
900.0,-17.5,1406.0,1000000.0,1990000,11.191
900.0,-17.0,1526.0,1000000.0,2331000,11.683
900.0,-16.5,1643.0,1000000.0,2689000,12.011
900.0,-16.0,1637.0,718750.0,3755000,14.949
900.0,-15.5,1635.0,539062.0,4940000,17.528
900.0,-15.0,1640.0,425781.0,6316000,19.973
900.0,-14.5,1624.0,343750.0,7672000,21.623
900.0,-14.0,1622.0,285156.0,9363000,23.519
900.0,-13.5,1621.0,238281.0,11027000,24.686
900.0,-13.0,1620.0,203125.0,13016000,25.97
900.0,-12.5,1607.0,175781.0,14691000,26.125
900.0,-12.0,1586.0,148437.0,16945000,26.856
900.0,-11.5,1572.0,128906.0,19292000,27.251
900.0,-11.0,1613.0,117187.0,21845000,27.501
900.0,-10.5,1603.0,105468.0,24394000,27.371
900.0,-10.0,1518.0,86173.0,27951000,27.951
900.0,-9.5,1614.0,85557.0,30447000,27.136
900.0,-9.0,1631.0,77164.0,33717000,26.782
900.0,-8.5,1641.0,69573.0,37257000,26.376
900.0,-8.0,1631.0,63475.0,41908000,26.442
900.0,-7.5,1633.0,57296.0,46542000,26.172
900.0,-7.0,1614.0,52691.0,51044000,25.583
900.0,-6.5,1619.0,48374.0,54118000,24.174
900.0,-6.0,1619.0,44354.0,59096000,23.527
900.0,-5.5,1615.0,40639.0,65297000,23.168
900.0,-5.0,1621.0,37578.0,71138000,22.496
