harvester,target_voltage_mv,level_dbm,efficiency
sSUHFIPTIVA0,1750.0,-3.0,23.01
sSUHFIPTIVA0,1750.0,-2.5,22.13
sSUHFIPTIVA0,1750.0,-2.0,21.19
sSUHFIPTIVA0,1750.0,-1.5,20.17
sSUHFIPTIVA0,1750.0,-1.0,19.29
sSUHFIPTIVA0,1750.0,-0.5,18.38
sSUHFIPTIVA0,1750.0,0.0,17.4
sSUHFIPTIVA0,2000.0,-30.0,0.31
sSUHFIPTIVA0,2000.0,-29.5,0.3
sSUHFIPTIVA0,2000.0,-29.0,0.31
sSUHFIPTIVA0,2000.0,-28.5,0.34
sSUHFIPTIVA0,2000.0,-28.0,0.39
sSUHFIPTIVA0,2000.0,-27.5,0.32
sSUHFIPTIVA0,2000.0,-27.0,0.42
sSUHFIPTIVA0,2000.0,-26.5,0.51
sSUHFIPTIVA0,2000.0,-26.0,0.66
sSUHFIPTIVA0,2000.0,-25.5,0.9
sSUHFIPTIVA0,2000.0,-25.0,1.24
sSUHFIPTIVA0,2000.0,-24.5,1.71
sSUHFIPTIVA0,2000.0,-24.0,2.47
sSUHFIPTIVA0,2000.0,-23.5,3.2
sSUHFIPTIVA0,2000.0,-23.0,4.29
sSUHFIPTIVA0,2000.0,-22.5,5.49
sSUHFIPTIVA0,2000.0,-22.0,6.76
sSUHFIPTIVA0,2000.0,-21.5,5.42
sSUHFIPTIVA0,2000.0,-21.0,6.84
sSUHFIPTIVA0,2000.0,-20.5,8.38
sSUHFIPTIVA0,2000.0,-20.0,9.84
sSUHFIPTIVA0,2000.0,-19.5,11.05
sSUHFIPTIVA0,2000.0,-19.0,11.59
sSUHFIPTIVA0,2000.0,-18.5,13.1
sSUHFIPTIVA0,2000.0,-18.0,13.82
sSUHFIPTIVA0,2000.0,-17.5,14.33
sSUHFIPTIVA0,2000.0,-17.0,14.67
sSUHFIPTIVA0,2000.0,-16.5,14.87
sSUHFIPTIVA0,2000.0,-16.0,14.94
sSUHFIPTIVA0,2000.0,-15.5,14.92
sSUHFIPTIVA0,2000.0,-15.0,17.41
sSUHFIPTIVA0,2000.0,-14.5,20.37
sSUHFIPTIVA0,2000.0,-14.0,23.09
sSUHFIPTIVA0,2000.0,-13.5,25.41
sSUHFIPTIVA0,2000.0,-13.0,27.32
sSUHFIPTIVA0,2000.0,-12.5,28.81
sSUHFIPTIVA0,2000.0,-12.0,30.21
sSUHFIPTIVA0,2000.0,-11.5,31.24
sSUHFIPTIVA0,2000.0,-11.0,31.89
sSUHFIPTIVA0,2000.0,-10.5,32.35
sSUHFIPTIVA0,2000.0,-10.0,32.41
sSUHFIPTIVA0,2000.0,-9.5,32.43
sSUHFIPTIVA0,2000.0,-9.0,32.25
sSUHFIPTIVA0,2000.0,-8.5,33.46
sSUHFIPTIVA0,2000.0,-8.0,33.08
sSUHFIPTIVA0,2000.0,-7.5,32.51
sSUHFIPTIVA0,2000.0,-7.0,31.93
sSUHFIPTIVA0,2000.0,-6.5,31.15
sSUHFIPTIVA0,2000.0,-6.0,30.37
sSUHFIPTIVA0,2000.0,-5.5,29.52
sSUHFIPTIVA0,2000.0,-5.0,28.7
sSUHFIPTIVA0,2000.0,-4.5,27.81
sSUHFIPTIVA0,2000.0,-4.0,26.87
sSUHFIPTIVA0,2000.0,-3.5,25.93
sSUHFIPTIVA0,2000.0,-3.0,24.94
sSUHFIPTIVA0,2000.0,-2.5,23.94
sSUHFIPTIVA0,2000.0,-2.0,22.89
sSUHFIPTIVA0,2000.0,-1.5,22.01
sSUHFIPTIVA0,2000.0,-1.0,21.08
sSUHFIPTIVA0,2000.0,-0.5,20.08
sSUHFIPTIVA0,2000.0,0.0,19.21
sSUHFIPTIVA0,250.0,-30.0,0.24
